arxiv_id,title,authors,year,abstract_summary,doi
1405.0126v1,"Is Consciousness Computable?","Phil Maguire, Philippe Moser, Rebecca Maguire, Virgil Griffith",2014,"Uses algorithmic information theory to formalize integrated information. Complete lossless integration requires noncomputable functions.",
2510.25998v3,"Integrated Information Theory: A Consciousness-First Approach","Giulio Tononi, Melanie Boly",2025,"Overview emphasizing IIT's foundational approach. An entity's cause-effect structure accounts for all properties of an experience.",
physics/0409140v2,"Complex-Dynamic Origin of Consciousness","Andrei P. Kirilyuk",2004,"Analyzes emergence of consciousness through dynamic complexity. Consciousness emerges from bound permanently localised states.",
2508.00190v1,"On the Utility of Toy Models for Theories of Consciousness","Larissa Albantakis",2025,"Examines simplified systems for testing consciousness theories. Toy models make abstract concepts more tangible.",
adap-org/9911003v2,"Amplifying Phenomenal Information","L. Gabora",1999,"Proposes consciousness emerges through information amplification via trapping and integrating information through closure.",
2006.07390v2,"Formalizing Falsification for Theories of Consciousness","Jake R. Hanson, Sara I. Walker",2020,"Addresses scientific validation challenges. IIT is simultaneously falsified and unfalsifiable at different levels.",10.1093/nc/niab014
2502.07247v3,"A Relativistic Theory of Consciousness","Nir Lahav, Zachariah A. Neemeh",2025,"Proposes observer-dependent consciousness model. Phenomenal consciousness is neither private nor delusional just relativistic.",10.3389/fpsyg.2021.704270
2105.02314v1,"Consciousness and the Collapse of the Wave Function","David J. Chalmers, Kelvin J. McQueen",2021,"Combines integrated information theory with quantum collapse dynamics.",
1407.4706v1,"An Integration of IIT with Fundamental Physics","Adam B. Barrett",2014,"Proposes consciousness arises from information intrinsic to fundamental fields.",10.3389/fpsyg.2014.00063
2006.13664v3,"No Substitute for Functionalism","Natesh Ganesh",2020,"Defends functionalist approaches against substitution arguments.",
nlin/0303042v1,"Towards a Theory of Consciousness","Andras Lorincz, Gabor Szirtes",2003,"Proposes reflexive architectures overcome the homunculus problem.",
1804.03606v1,"Quantum Mechanics and the Problem of Consciousness","Ranjan Mukhopadhyay",2018,"Examines consciousness through quantum physics lens.",
2507.02614v1,"A Dopamine-Serotonin Theory of Consciousness","Diogo Sousa",2025,"Mathematical framework showing consciousness as continuous non-monotonic function.",
2505.20580v1,"Resonance Complexity Theory and the Architecture of Consciousness","Michael Arnold Bruna",2025,"Consciousness emerges from stable interference patterns of oscillatory neural activity.",
2509.00555v1,"Integrated Information and Predictive Processing Theories","Andrew W. Corcoran, Andrew M. Haun, Reinder Dorman, et al.",2025,"Adversarial collaborative review comparing IIT with competing theories.",
1909.13045v2,"Information Closure Theory of Consciousness","Acer Y. C. Chang, Martin Biehl, Yen Yu, Ryota Kanai",2019,"Proposes consciousness involves non-trivial informational closure at specific neural scales.",10.3389/fpsyg.2020.01504
1907.00703v1,"Information Flow Theory of Consciousness","B. S. Bleier",2019,"Framework prioritizing information flow direction over computation.",
1807.02103v2,"Making Sense of Consciousness as Integrated Information","Kyumin Moon, Hongju Pae",2018,"Critical appraisal of IIT evolution and controversies.",
2008.11430v2,"Complexity as Causal Information Integration","Carlotta Langer, Nihat Ay",2020,"Information-geometric approach to measuring causal connections.",10.3390/e22101107
2010.11237v1,"Embodied Consciousness Theory","Jahan N. Schad",2020,"Framework rooted in computational brain operations.",
1712.06745v2,"Efficient Algorithms for Searching Minimum Information Partition","Jun Kitazono, Ryota Kanai, Masafumi Oizumi",2017,"Develops computational methods for IIT measurement.",10.3390/e20030173
1902.02292v3,"Information Flow in Computational Systems","Praveen Venkatesh, Sanghamitra Dutta, Pulkit Grover",2019,"Framework for defining information flows in directed graphs.",10.1109/TIT.2020.2987806
2506.22516v1,"Can Consciousness be Observed in LLM Internal States?","Jingkai Li",2025,"Applies IIT 3.0 and 4.0 to language model representations.",10.1016/j.nlp.2025.100163
1902.04321v1,"The Phi Measure is Not Well-Defined","Adam B. Barrett, Pedro A. M. Mediano",2019,"Identifies mathematical issues in IIT's foundational measure.",
2002.07655v1,"The Mathematical Structure of Integrated Information Theory","Johannes Kleiner, Sean Tull",2020,"Provides axiomatic mathematical foundation for IIT.",
2401.00004v1,"Informational Non-Reductionist Theory of Consciousness","E. E. Vityaev",2023,"Non-reductive approach based on information discovery in brain systems.",
1908.09621v2,"IIT and Isomorphic Philosophical Zombies","Jake R. Hanson, Sara I. Walker",2019,"Demonstrates how functionally equivalent systems can differ in IIT predictions.",10.3390/e21111073
2410.00033v1,"The Phenomenology of Machine","Victoria Violet Hoyle",2024,"Examines OpenAI-o1 model consciousness using functionalism and IIT.",
2309.10063v1,"Survey of Consciousness Theory from Computational Perspective","Zihan Ding, Xiaoxi Wei, Yidan Xu",2023,"Surveys consciousness theories across disciplines.",
2504.18550v1,"Quantum Information Theoretic Approach to Hard Problem","Danko D. Georgiev",2025,"Identifies conscious states with quantum vectors.",10.1016/j.biosystems.2025.105458
quant-ph/0604100v1,"Founding Quantum Theory on Consciousness","Efstratios Manousakis",2006,"Proposes consciousness-first ontology.",10.1007/s10701-006-9049-9
1807.04520v2,"Elements of Consciousness and Cognition","Pierre Baudot",2018,"Integrates perspectives from neuroscience physics and mathematics.",
1505.04368v1,"Measuring Integrated Information from Decoding Perspective","Masafumi Oizumi, Shun-ichi Amari, Toru Yanagawa, et al.",2015,"Derives practical measure Φ* for measuring integrated information.",10.1371/journal.pcbi.1004654
2407.09488v3,"Bayesian Theory of Consciousness as Emotion-Cognition Inference","Xin Li",2024,"Consciousness emerges from affect-modulated inference cycle.",
2412.12179v2,"Towards a (Meta-)Mathematical Theory of Consciousness","Steven Phillips, Naotsugu Tsuchiya",2024,"Uses category theory to formalize consciousness.",
2510.01864v1,"A Modular Theory of Subjective Consciousness","Michaël Gillon",2025,"Consciousness as discrete packets of Integrated Informational States.",
1608.08450v2,"A Compression-Complexity Measure of Integrated Information","Mohit Virmani, Nithin Nagaraj",2016,"Introduces Φ^C measure based on lossless compression.",
2410.06633v2,"On the Minimal Theory of Consciousness in Active Inference","Maxwell Ramstead, Axel Constant, Antti Revonsuo",2024,"Derives minimal consciousness theory from active inference principles.",