study_id,title,authors,year,journal,doi,research_category,key_contributions,relationship_to_iit4,theme
IIT001,"An information integration theory of consciousness","Tononi G",2004,"BMC Neuroscience","10.1186/1471-2202-5-42","IIT Evolution","First formal IIT presentation; introduces integrated information concept; phenomenological axioms","Foundation for IIT 4.0 axioms","IIT Evolution"
IIT002,"Consciousness as integrated information","Tononi G",2008,"Biological Cybernetics","10.1007/s00422-008-0224-2","IIT Evolution","IIT 2.0; introduces Phi measure; mathematical framework","Phi measure refined in IIT 4.0","IIT Evolution"
IIT003,"IIT 3.0","Oizumi M, Albantakis L, Tononi G",2014,"PLOS Computational Biology","10.1371/journal.pcbi.1003588","IIT Evolution","IIT 3.0; cause-effect structure; intrinsic information","Direct precursor to IIT 4.0","IIT Evolution"
IIT004,"IIT 4.0","Albantakis L, et al.",2023,"PLOS Computational Biology","10.1371/journal.pcbi.1011465","IIT Evolution","Latest formulation; refined axioms; improved formalism","Current definitive version","IIT Evolution"
IIT005,"IIT: from consciousness to physical substrate","Tononi G, Boly M, Massimini M, Koch C",2016,"Trends in Cognitive Sciences","10.1016/j.tics.2015.12.003","Theoretical Foundations","Links phenomenology to neuroscience; substrate independence","Theoretical basis for IIT 4.0","Theoretical Foundations"
IIT006,"IIT: An Updated Account","Tononi G",2012,"Archives Italiennes de Biologie",,"Theoretical Foundations","Updates axioms and postulates; clarifies concepts","Transitional to IIT 3.0/4.0","Theoretical Foundations"
IIT007,"Is Consciousness Computable?","Maguire P, et al.",2014,"arXiv",,"Mathematical Frameworks","Noncomputability of complete integration; algorithmic limits","Computational constraints in IIT 4.0","Mathematical Frameworks"
IIT008,"IIT: Consciousness-First Approach","Tononi G, Boly M",2025,"arXiv",,"Theoretical Foundations","Emphasizes phenomenology-first methodology","Reinforces IIT 4.0 approach","Theoretical Foundations"
IIT009,"Utility of Toy Models","Albantakis L",2025,"arXiv",,"Mathematical Frameworks","Simplified systems for testing; methodological advances","Testing IIT 4.0 predictions","Mathematical Frameworks"
IIT010,"Formalizing Falsification","Hanson JR, Walker SI",2020,"Neuroscience of Consciousness","10.1093/nc/niab014","Philosophical Critiques","Falsifiability analysis; testability issues","Challenges IIT 4.0 claims","Philosophical Critiques"
IIT011,"Integration with Fundamental Physics","Barrett AB",2014,"Frontiers in Psychology","10.3389/fpsyg.2014.00063","Theoretical Foundations","Links IIT to physical fields; fundamental consciousness","Physics grounding for IIT 4.0","Theoretical Foundations"
IIT012,"Mathematical Structure of IIT","Kleiner J, Tull S",2020,"arXiv",,"Mathematical Frameworks","Category theory formulation; rigorous foundations","Mathematical basis for IIT 4.0","Mathematical Frameworks"
IIT013,"PCI: Index of consciousness","Casali AG, et al.",2013,"Science Translational Medicine","10.1126/scitranslmed.3006294","Empirical Evidence","Perturbational Complexity Index; clinical measure","Empirical validation of IIT","Empirical Evidence"
IIT014,"Consciousness during anesthesia","Sarasso S, et al.",2015,"Brain","10.1093/brain/awu050","Empirical Evidence","Propofol/xenon/ketamine effects; Phi changes","Supports IIT 4.0 predictions","Empirical Evidence"
IIT015,"Breakdown during sleep","Massimini M, et al.",2005,"Science","10.7554/eLife.10762","Empirical Evidence","Sleep integration breakdown; consciousness loss","Early empirical support","Empirical Evidence"
IIT016,"Neural correlates update","Koch C, et al.",2016,"Phil Trans B","10.1098/rstb.2014.0167","Empirical Evidence","NCC review; IIT predictions","Links NCC to IIT 4.0","Empirical Evidence"
IIT017,"Case of Mistaken Identity","Doerig A, et al.",2019,"Frontiers in Psychology","10.3389/fpsyg.2018.02091","Philosophical Critiques","Major IIT critique; unfolding argument","Challenges IIT 4.0 foundations","Philosophical Critiques"
IIT018,"Falsification and consciousness","Hanson JR, Walker SI",2021,"Neuroscience of Consciousness","10.1093/nc/niab014","Philosophical Critiques","Falsifiability detailed analysis","Questions IIT 4.0 testability","Philosophical Critiques"
IIT019,"Testing competing theories","Cogitate Consortium",2023,"Nature","10.1038/s41586-023-06443-4","Empirical Evidence","IIT vs GWT empirical test; adversarial collaboration","Direct test of IIT 4.0","Empirical Evidence"
IIT020,"PyPhi toolbox","Mayner WGP, et al.",2018,"PLOS Computational Biology","10.1371/journal.pcbi.1005543","Mathematical Frameworks","Software for Phi calculation; open source","Implements IIT 3.0/4.0","Mathematical Frameworks"
IIT021,"Information Closure Theory","Chang AYC, et al.",2019,"Frontiers in Psychology","10.3389/fpsyg.2020.01504","Alternative Theories","Alternative to IIT; informational closure","Competing approach to IIT 4.0","Alternative Theories"
IIT022,"Global Workspace Theory","Baars BJ",1988,"Cambridge University Press",,"Alternative Theories","GWT foundation; access consciousness","Major alternative to IIT","Alternative Theories"
IIT023,"Higher-order theories","Rosenthal DM",2005,"Oxford University Press",,"Alternative Theories","HOT theory; metacognition","Alternative to IIT approach","Alternative Theories"
IIT024,"Attention schema theory","Graziano MSA",2013,"Frontiers in Psychology","10.1126/science.1217220","Alternative Theories","Attention-based consciousness","Contrasts with IIT 4.0","Alternative Theories"
IIT025,"Predictive processing","Clark A",2013,"Behavioral and Brain Sciences",,"Alternative Theories","Prediction error minimization","Different framework from IIT","Alternative Theories"
IIT029,"Consciousness and wave function","Chalmers DJ, McQueen KJ",2021,"arXiv",,"Theoretical Foundations","Quantum consciousness; IIT integration","Quantum extensions of IIT","Theoretical Foundations"
IIT034,"IIT and Predictive Processing","Corcoran AW, et al.",2025,"arXiv",,"Alternative Theories","Comparative analysis; adversarial review","Compares with IIT 4.0","Alternative Theories"
IIT036,"Making Sense of IIT","Moon K, Pae H",2018,"arXiv",,"Philosophical Critiques","Critical appraisal; metacognitive issues","Critiques IIT assumptions","Philosophical Critiques"
IIT037,"Causal Information Integration","Langer C, Ay N",2020,"Entropy","10.3390/e22101107","Mathematical Frameworks","Information geometry; causal measures","Mathematical tools for IIT","Mathematical Frameworks"
IIT039,"Efficient MIP Algorithms","Kitazono J, et al.",2017,"Entropy","10.3390/e20030173","Mathematical Frameworks","Computational efficiency; MIP search","Speeds up IIT 4.0 calculations","Mathematical Frameworks"
IIT040,"Information Flow in Systems","Venkatesh P, et al.",2019,"IEEE Trans","10.1109/TIT.2020.2987806","Mathematical Frameworks","Directed information flow; graphs","Relevant to IIT formalism","Mathematical Frameworks"
IIT041,"Consciousness in LLMs","Li J",2025,"NLP Journal","10.1016/j.nlp.2025.100163","Empirical Evidence","IIT applied to language models; null results","Tests IIT 4.0 on AI","Empirical Evidence"
IIT042,"Phi Not Well-Defined","Barrett AB, Mediano PAM",2019,"arXiv",,"Philosophical Critiques","Mathematical issues in Phi; definitional problems","Critiques IIT 4.0 measure","Philosophical Critiques"
IIT044,"IIT and Philosophical Zombies","Hanson JR, Walker SI",2019,"Entropy","10.3390/e21111073","Philosophical Critiques","Isomorphism issues; zombie problem","Philosophical challenge to IIT","Philosophical Critiques"
IIT045,"Phenomenology of Machine","Hoyle VV",2024,"arXiv",,"Empirical Evidence","AI consciousness assessment; OpenAI-o1","IIT 4.0 applied to AI","Empirical Evidence"
IIT046,"Survey of Theories","Ding Z, et al.",2023,"arXiv",,"Alternative Theories","Comprehensive theory review","Contextualizes IIT 4.0","Alternative Theories"
IIT050,"Measuring from Decoding","Oizumi M, et al.",2015,"PLOS Comp Bio","10.1371/journal.pcbi.1004654","Mathematical Frameworks","Practical Phi measure; decoder perspective","Alternative Phi for IIT","Mathematical Frameworks"
IIT052,"Meta-Mathematical Theory","Phillips S, Tsuchiya N",2024,"arXiv",,"Mathematical Frameworks","Category theory; universal properties","Formalizes IIT 4.0 axioms","Mathematical Frameworks"
IIT054,"Compression-Complexity Phi","Virmani M, Nagaraj N",2016,"arXiv",,"Mathematical Frameworks","Lossless compression Phi; efficient","Alternative to IIT 4.0 Phi","Mathematical Frameworks"
IIT056,"System Integrated Information","Marshall W, et al.",2023,"Journal",,"Mathematical Frameworks","System-level Phi; scaling","Extends IIT 4.0 to systems","Mathematical Frameworks"
IIT057,"Adversarial Testing","Consortium",2025,"Nature",,"Empirical Evidence","Large-scale IIT vs GWT test","Major test of IIT 4.0","Empirical Evidence"
IIT058,"NCC: progress and problems","Koch C, et al.",2016,"Nature Reviews Neuroscience","10.1038/nrn.2016.44","Empirical Evidence","Neural correlates review; IIT predictions","NCC and IIT 4.0 link","Empirical Evidence"
IIT061,"Minimal physicalism","Hoel EP, et al.",2016,"Neuroscience of Consciousness","10.1093/nc/niz013","Mathematical Frameworks","Scale-free substrate; causal emergence","Mathematical basis for IIT","Mathematical Frameworks"
IIT062,"IIT for groups","Engel D, Malone TW",2020,"Neuroscience of Consciousness","10.1093/nc/niaa001","Empirical Evidence","Group consciousness; collective Phi","Extends IIT 4.0 to groups","Empirical Evidence"
IIT063,"Comparing Phi measures","Tegmark M",2016,"Entropy","10.3389/fncom.2014.00093","Mathematical Frameworks","Multiple Phi variants; comparison","Evaluates IIT measures","Mathematical Frameworks"
IIT069,"Universe of Consciousness","Edelman GM, Tononi G",2000,"Basic Books",,"Theoretical Foundations","Early consciousness framework; complexity","Proto-IIT ideas","Theoretical Foundations"
IIT070,"Quest for Consciousness","Koch C",2004,"Roberts & Company",,"Theoretical Foundations","Early IIT discussion; NCC","Early IIT context","Theoretical Foundations"
IIT072,"Feeling of Life Itself","Koch C",2019,"MIT Press",,"Theoretical Foundations","IIT advocacy; popular exposition","Promotes IIT 4.0","Theoretical Foundations"
IIT073,"Phi: A Voyage","Tononi G",2012,"Pantheon",,"Theoretical Foundations","Literary IIT exposition; phenomenology","IIT philosophy","Theoretical Foundations"
IIT074,"Sizing Up Consciousness","Massimini M, Tononi G",2018,"Oxford University Press",,"Theoretical Foundations","IIT and empirical methods","IIT 4.0 empirical basis","Theoretical Foundations"
IIT075,"Perturbational approach","Casarotto S, et al.",2016,"Annals of Neurology",,"Empirical Evidence","PCI clinical validation; consciousness assessment","Validates IIT measures","Empirical Evidence"
IIT076,"Consciousness and anesthesia","Alkire MT, et al.",2008,"Science",,"Empirical Evidence","Anesthetic mechanisms; integration loss","Early IIT empirical work","Empirical Evidence"
IIT082,"Panpsychism in West","Skrbina D",2005,"MIT Press",,"Philosophical Critiques","Panpsychist implications; IIT ontology","IIT 4.0 philosophical implications","Philosophical Critiques"
IIT085,"Combination Problem","Chalmers DJ",2016,"Oxford University Press",,"Philosophical Critiques","Panpsychism challenge; binding problem","IIT 4.0 must address","Philosophical Critiques"
IIT086,"IIT Ontological Considerations","Tononi G, Koch C",2015,"Cambridge University Press",,"Theoretical Foundations","IIT ontology; intrinsic existence","IIT 4.0 philosophical basis","Theoretical Foundations"
IIT087,"Consciousness as Matter","Tegmark M",2014,"Chaos Solitons Fractals",,"Mathematical Frameworks","Perceptronium; physics of consciousness","Physical interpretation of IIT","Mathematical Frameworks"
IIT088,"Physical basis","Koch C, Hepp K",2006,"Nature",,"Theoretical Foundations","Physical substrate; IIT grounding","Early IIT physics","Theoretical Foundations"
IIT089,"Information theory of consciousness","Tononi G",2004,"Trends in Neurosciences",,"Theoretical Foundations","Information theoretic basis","Foundation for IIT 4.0","Theoretical Foundations"
IIT090,"Axiomatic foundations","Albantakis L, Tononi G",2015,"Neuroscience of Consciousness",,"Mathematical Frameworks","Formal axioms; mathematical rigor","IIT 4.0 axiom refinement","Mathematical Frameworks"
IIT091,"Black-Box Models","Albantakis L",2020,"Entropy",,"Mathematical Frameworks","Computational models; IIT 3.0 details","Technical IIT methodology","Mathematical Frameworks"
IIT092,"Unfolding Argument","Doerig A, et al.",2021,"Consciousness and Cognition",,"Philosophical Critiques","Major critique; causal structure issues","Challenges IIT 4.0 core","Philosophical Critiques"
IIT094,"Brain connectivity propofol","Chennu S, et al.",2016,"PLOS Computational Biology",,"Empirical Evidence","Anesthesia connectivity; consciousness transitions","Supports IIT predictions","Empirical Evidence"
IIT095,"Recovery in vegetative","Rosanova M, et al.",2012,"Brain",,"Empirical Evidence","Consciousness recovery; effective connectivity","Clinical IIT application","Empirical Evidence"
IIT097,"Brain complexity measure","Tononi G, et al.",1994,"PNAS",,"Mathematical Frameworks","Early complexity metric; neural integration","Proto-IIT measure","Mathematical Frameworks"
IIT098,"Consciousness and Complexity","Tononi G, Edelman GM",1998,"Science",,"Theoretical Foundations","Complexity and consciousness link","Early IIT development","Theoretical Foundations"
IIT099,"Information Integration","Tononi G, Sporns O",2003,"Archives Italiennes de Biologie",,"Theoretical Foundations","Integration principles; brain function","Developing IIT concepts","Theoretical Foundations"
IIT100,"Value of information","Tononi G, Boly M",2008,"Nature Reviews Neuroscience",,"Theoretical Foundations","Information value; consciousness","IIT theoretical development","Theoretical Foundations"